Drug,Interaction_Text,Risk_Level
duloxetine,avoid excessive or chronic alcohol consumption. alcohol increases the risk of liver toxicity.,High
duloxetine,take with or without food. do not sprinkle the contents of the capsules on food/liquids.,Low
chlorpromazine,avoid alcohol.,High
chlorpromazine,take with food. food reduces irritation.,Low
lenalidomide,take at the same time every day. skip the missed dose if it has been more than 12 hours since your regular time.,Low
lenalidomide,"take with or without food. high-fat meals decrease absorption, but not to a clinically significant extent.",Low
raloxifene,avoid excessive or chronic alcohol consumption. excessive and chronic alcohol consumption may be associated with vitamin d deficiency.,High
raloxifene,take with or without food. the absorption is unaffected by food.,Low
celecoxib,avoid alcohol. alcohol increases the risk of gastrointestinal irritation.,High
celecoxib,avoid multivalent ions. separate the administration of aluminum and magnesium containing drugs by several hours.,High
celecoxib,"take with or without food. doses up to 200 mg can be taken without regard to food, but doses of 400mg or higher should be taken with food.",Low
brimonidine,avoid alcohol. alcohol intake may potentially lead to additive cns depressant effects.,High
dicloxacillin,take on an empty stomach. food decreases bioavailability.,Low
nabilone,avoid alcohol.,High
nabilone,take with or without food. food does not significantly affect absorption.,Low
altretamine,take after a meal. take altretamine after meals and at bedtime.,Low
sotalol,take with or without food. oral sotalol with a meal reduces absorption by 20%.,Low
buspirone,avoid alcohol. alcohol may cause additive cns depressant effects.,High
buspirone,avoid grapefruit products. grapefruit increases the plasma concentrations of the drug.,High
buspirone,take at the same time every day. take consistently at the same time in regard to meals.,Low
buspirone,take with or without food. take drug always with or always without food in a consistent manner.,Low
miglitol,take with food. take at the beginning of a meal.,Low
fosinopril,"avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",High
fosinopril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
fosinopril,limit salt intake. salt may attenuate the antihypertensive effect.,Moderate
fosinopril,take separate from antacids. take at least 2 hours before or after antacids. taking this medication with antacids can reduce absorption.taking this medication with antacids can reduce absorption.,Low
fosinopril,take with or without food. the absorption is unaffected by food.,Low
entacapone,take with or without food. the absorption is unaffected by food.,Low
zidovudine,take with or without food. the administration of zidovudine with food causes a 28% reduction in the cmax but does not affect the auc.,Low
darifenacin,take with or without food. the absorption is unaffected by food.,Low
oxycodone,avoid alcohol.,High
oxycodone,take with or without food. food does not significantly affect absorption.,Low
phenindione,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include ginseng, ginkgo, ginger, and garlic.",High
flutamide,take with or without food. the absorption is unaffected by food.,Low
tolmetin,"avoid alcohol. ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed.",High
tolmetin,"take with or without food. food (or milk) can decrease oral bioavailability by 16%. tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%.",Low
cimetidine,"take with food. food increases bioavailability. for prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration.",Low
haloperidol,avoid alcohol. alcohol may potential hypotension and cns adverse effects.,High
ritonavir,avoid st. john's wort. co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.,High
nitazoxanide,take with food. food improves oral bioavailability.,Low
dextrothyroxine,take with or without food. the absorption is unaffected by food.,Low
vancomycin,take with or without food.,Low
aminocaproic acid,take with or without food. the absorption is unaffected by food.,Low
dextromethorphan,take with or without food. the absorption is unaffected by food.,Low
cisplatin,"avoid echinacea. echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. monitor for reduced efficacy of the immunosuppressant during concomitant use.",High
albendazole,take with a high fat meal. a high fat meal increases solubility and absorption. take with food when treating systemic infections.,Low
trandolapril,"avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",High
trandolapril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
trandolapril,limit salt intake. salt may attenuate the antihypertensive effect.,Moderate
trandolapril,take with or without food. the absorption is unaffected by food.,Low
alitretinoin,take at the same time every day.,Low
alitretinoin,take with food. food increases the bioavailability of alitretinoin capsules.,Low
metolazone,take with food. food reduces irritation.,Low
lercanidipine,"avoid alcohol. alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension.",High
lercanidipine,"avoid grapefruit products. grapefruit inhibits the metabolism of lercanidipine through cyp3a4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension.",High
lercanidipine,"exercise caution with st. john's wort. lercanidipine is metabolized by cyp3a4, and st. john's wort is a cyp3a4 inducer.",Moderate
lercanidipine,"take on an empty stomach. taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals.",Low
erlotinib,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of erlotinib.",Moderate
erlotinib,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of erlotinib.",Moderate
erlotinib,"take on an empty stomach. food increases erlotinib bioavailability, therefore administer at least 1 hour before or 2 hours after meals.",Low
cyclophosphamide,drink plenty of fluids. drink 2 to 3 liters of fluids a day.,Low
cyclophosphamide,take with food. food reduces irritation.,Low
rofecoxib,"take separate from antacids. taking rofecoxib with antacids can reduce the auc and cmax of rofecoxib, therefore consider separating their administration for optimal efficacy.",Low
rofecoxib,"take with or without food. the auc and cmax of rofecoxib tablets are not impacted by administration with food, however, the tmax may be delayed. the food effect on the absorption of rofecoxib suspension formulation has not been studied according to the official product labeling.",Low
cefdinir,"avoid multivalent ions. do not take aluminum, magnesium, or iron containing products up to 2 hours before or after this medication.",High
cefdinir,take with or without food. the absorption is unaffected by food.,Low
ciprofloxacin,avoid milk and dairy products. dairy products and calcium fortified juices decrease the absorption of ciprofloxacin.,High
ciprofloxacin,limit caffeine intake.,Moderate
ciprofloxacin,take with or without food. the absorption is not significantly affected by food.,Low
toremifene,"avoid grapefruit products. grapefruit inhibits cyp3a4 and therefore, may elevate toremifene serum levels.",High
toremifene,take with or without food.,Low
nortriptyline,avoid alcohol.,High
nortriptyline,take with or without food. food decreases gastrointestinal irritation.,Low
vincristine,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of vincristine.",Moderate
vincristine,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of vincristine.",Moderate
benazepril,avoid potassium-containing products. potassium products increase the risk of hyperkalemia.,High
benazepril,take with or without food. food slows the rate of absorption but not the extent.,Low
amoxapine,avoid alcohol.,High
amoxapine,take with food. food reduces irritation.,Low
pyridostigmine,take with food. food decreases irritation.,Low
azelaic acid,"avoid alcohol. alcohol may cause flushing; therefore, it may worsen rosacea.",High
azelaic acid,"take with or without food. food and drink, which have a high temperature or are spicy, may exacerbate flushing and rosacea, avoid if possible.",High
